,Person,vote,date,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date1,dateDoc
2017-07-06 12:21:00,"Lorenzini Basso, Pablo",Abstención,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Melo Contreras, Daniel",Abstención,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Saldívar Auger, Raúl",Abstención,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Schilling Rodríguez, Marcelo",Abstención,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Soto Ferrada, Leonardo",Abstención,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Tarud Daccarett, Jorge",Abstención,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Alvarez Vera, Jenny",Pareo,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-4.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Carmona Soto, Lautaro",Pareo,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-4.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Flores García, Iván",Pareo,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-4.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Meza Moncada, Fernando",Pareo,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-4.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
