,Person,vote,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date,dateDoc
2,"Alvarez-Salamanca Ramírez, Pedro Pablo",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
3,"Arriagada Macaya, Claudio",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
4,"Auth Stewart, Pepe",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
5,"Bellolio Avaria, Jaime",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
6,"Berger Fett, Bernardo",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
7,"Browne Urrejola, Pedro",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
8,"Campos Jara, Cristián",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
9,"Cariola Oliva, Karol",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
10,"Carvajal Ambiado, Loreto",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
11,"Ceroni Fuentes, Guillermo",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
12,"Chahin Valenzuela, Fuad",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
13,"Chávez Velásquez, Marcelo",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
14,"Cicardini Milla, Daniella",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
15,"Coloma Alamos, Juan Antonio",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
16,"De Mussy Hiriart, Felipe",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
17,"Espejo Yaksic, Sergio",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
